group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
aiohttp_proxies_0.8.45_tar-gz,pypi,,aiohttp_proxies,0.8.45,tar-gz,13,1125.84082,['random.choice'],rand,malicious
http-ece_1.1.0_tar-gz,pypi,,http-ece,1.1.0,tar-gz,11,16.15332031,NaN,NaN,benign
jupyter-contrib-core_0.4.2_tar-gz,pypi,,jupyter-contrib-core,0.4.2,tar-gz,28,56.90234375,NaN,NaN,benign
heapdict_1.0.1_py3-none-any-whl,pypi,,heapdict,1.0.1,py3-none-any-whl,7,6.823242188,NaN,NaN,benign
mianooo_0.23_tar-gz,pypi,,mianooo,0.23,tar-gz,8,1.715820313,"['socket.gethostname', 'socket.gethostbyname', 'aiohttp.ClientSession', 'discord.Webhook.from_url', 'discord.Webhook.from_url.send', 'foo', 'asyncio.run', 'setuptools.command.install.install.run']",CustomInstallCommand.run,malicious
heapdict_1.0.1_tar-gz,pypi,,heapdict,1.0.1,tar-gz,13,14.30664063,NaN,NaN,benign
ssm-parameter-store_19.11.0_tar-gz,pypi,,ssm-parameter-store,19.11.0,tar-gz,21,38.59277344,NaN,NaN,benign
ssm-parameter-store_19.11.0_py2-py3-none-any-whl,pypi,,ssm-parameter-store,19.11.0,py2-py3-none-any-whl,8,12.7578125,NaN,NaN,benign
pyg-utils_2.1.8_tar-gz,pypi,,pyg-utils,2.1.8,tar-gz,9,2.013671875,"['subprocess.getoutput', 'subprocess.getoutput', 'subprocess.getoutput']",global,malicious
googleads_39.0.0_tar-gz,pypi,,googleads,39.0.0,tar-gz,15,104.5869141,NaN,NaN,benign
djangorestframework-csv_2.1.1_tar-gz,pypi,,djangorestframework-csv,2.1.1,tar-gz,18,31.47558594,NaN,NaN,benign
robotfixml_1.0.1_tar-gz,pypi,,robotfixml,1.0.1,tar-gz,5,8.021484375,NaN,NaN,benign
Sagepay_1.1_tar-gz,pypi,,Sagepay,1.1,tar-gz,8,3.103515625,"['os.uname', 'getpass.getuser', 'os.getcwd', 'base64.b64encode.decode', 'random.randint', 'os.system', 'os.system', 'data_post.encode', 'urllib.request.urlopen', 'urllib.request.urlopen', 'requests.post', 'requests.get', 'urllib.urlopen', 'urllib.urlopen']",global,malicious
columnar_1.4.1_py3-none-any-whl,pypi,,columnar,1.4.1,py3-none-any-whl,8,30.40136719,NaN,NaN,benign
columnar_1.4.1_tar-gz,pypi,,columnar,1.4.1,tar-gz,12,54.53222656,NaN,NaN,benign
aspy-yaml_1.3.0_py2-py3-none-any-whl,pypi,,aspy-yaml,1.3.0,py2-py3-none-any-whl,7,4.926757813,NaN,NaN,benign
genesisbot_0.0.4_tar-gz,pypi,,genesisbot,0.0.4,tar-gz,10,6.241210938,"['random.randint', 'asciigen']",encrypt,malicious
aspy-yaml_1.3.0_tar-gz,pypi,,aspy-yaml,1.3.0,tar-gz,12,9.061523438,NaN,NaN,benign
click-didyoumean_0.3.0_tar-gz,pypi,,click-didyoumean,0.3.0,tar-gz,5,4.655273438,NaN,NaN,benign
click-didyoumean_0.3.0_py3-none-any-whl,pypi,,click-didyoumean,0.3.0,py3-none-any-whl,5,4.005859375,NaN,NaN,benign
genesisbot_0.0.1_tar-gz,pypi,,genesisbot,0.0.1,tar-gz,10,3.23046875,"['random.randint', 'asciigen']",encrypt,malicious
pyexecjs_1.5.1_tar-gz,pypi,,pyexecjs,1.5.1,tar-gz,25,56.16796875,NaN,NaN,benign
somnium_9.9.2_py3-none-any-whl,pypi,,somnium,9.9.2,py3-none-any-whl,9,13.93359375,NaN,NaN,benign
somnium_9.9.2_tar-gz,pypi,,somnium,9.9.2,tar-gz,14,16.66210938,NaN,NaN,benign
genesisbot_0.0.5_tar-gz,pypi,,genesisbot,0.0.5,tar-gz,10,6.83203125,"['random.randint', 'asciigen']",encrypt,malicious
azure-nspkg_3.0.2_zip,pypi,,azure-nspkg,3.0.2,zip,11,6.017578125,NaN,NaN,benign
azure-nspkg_3.0.2_py2-none-any-whl,pypi,,azure-nspkg,3.0.2,py2-none-any-whl,7,3.724609375,NaN,NaN,benign
azure-nspkg_3.0.2_py3-none-any-whl,pypi,,azure-nspkg,3.0.2,py3-none-any-whl,4,1.817382813,NaN,NaN,benign
